Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
Acting Trio,Acting Trio,"12"" Vinyl",Yes,BYG Records,529.314,1969,Angola,Actuel - 14,No,https://www.discogs.com/release/516112-Acting-Trio-Acting-Trio, $26.31 ,516112,,516112
Adele,30,"12"" Vinyl",Yes,Columbia,19439937971,2021,Argentina,,No,https://www.discogs.com/release/21122347-Adele-30, $10.00 ,21122347,,21122347
Adult Net,The Honey Tangle,"12"" Vinyl",Yes,Fontana,838 717-1,1989,Argentina,,Yes,https://www.discogs.com/release/3442231-Adult-Net-The-Honey-Tangle, $7.75 ,3442231,,3442231
"Allen, Daevid",Alien In New York,"12"" Vinyl",Yes,Shanghai,HAI 202,1983,Argentina,"The artist on the cover is listed as ""EX""",No,https://www.discogs.com/release/2190110-EX-StopDont, $7.59 ,2190110,,2190110
"Allen, Daevid",Banana Moon,"10"" Vinyl",Yes,Charly Records,CYX 202,1982,Argentina,,No,https://www.discogs.com/release/528062-Daevid-Allen-With-Planet-Gong-Opium-For-The-People, $9.16 ,528062,,528062
"Allen, Daevid",Divided Alien Playbax 80,"10"" Vinyl",Yes,Charly Records,CYX 203,1982,Argentina,,No,https://www.discogs.com/release/7566857-Daevid-Allen-With-New-York-Gong-Jungle-Window, $9.48 ,7566857,,7566857
"Allen, Daevid",Divided Alien Playbax 80,"12"" Vinyl",Yes,Charly Records,CYZ 101,1983,Argentina,,No,https://www.discogs.com/release/1400307-Daevid-Allen-Alien-In-New-York, $12.64 ,1400307,,1400307
"Allen, Daevid",Elevenses,"12"" Vinyl",Yes,Shanghai,HAI 201,1982,Argentina,,No,https://www.discogs.com/release/829680-Daevid-Allen-The-Death-Of-Rock-Other-Entrances, $13.80 ,829680,,829680
"Allen, Daevid",Good Morning,"12"" Vinyl",Yes,Oxford,OX 3297,1984,Argentina,"Extensively damaged cover, only the front half exists and it is water damaged",No,https://www.discogs.com/release/1400307-Daevid-Allen-Alien-In-New-York, $14.74 ,1400307,,1400307
"Allen, Daevid",Jungle Windo(w),"12"" Vinyl",Yes,Charly Records,CR 30218,1982,Argentina,,No,https://www.discogs.com/release/1400307-Daevid-Allen-Alien-In-New-York, $14.74 ,1400307,,1400307
"Allen, Daevid",N'Existe Pas!,"12"" Vinyl",Yes,Tapioca,TP 10017,1977,Argentina,Black Paper Labels,No,https://www.discogs.com/release/9575253-Daevid-Allen-Now-Is-The-Happiest-Time-Of-Your-Life, $18.36 ,9575253,,9575253
"Allen, Daevid",Now Is The Happiest Time Of Your Life,"12"" Vinyl",Yes,Charly Records,CRL 5015,1979,Argentina,,No,https://www.discogs.com/release/774061-Daevid-Allen-NExiste-Pas, $21.05 ,774061,,774061
