id,artist,title,country,discogs_release_id,discogs_url,cover_url
"18","Amos, Tori","1000 Oceans","Australia","1436227","https://www.discogs.com/release/1436227-Tori-Amos-Strange-Little-Girls","https://i.discogs.com/wkeV57kPc8yii5Dw6Pbee2d4iiPR5jsQQZJ_NoPJhSw/rs:fit/g:sm/q:90/h:585/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MzYy/MjctMTIxOTU3NzE3/NS5qcGVn.jpeg"
"19","Amos, Tori","1000 Oceans","Australia","1268739","https://www.discogs.com/release/1268739-Tori-Amos-The-Beekeeper","https://i.discogs.com/fBgdoQ0E0EKAjwyCYnD33oAuodQmCoBtS3-xer6Xjsg/rs:fit/g:sm/q:90/h:497/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNjg3/MzktMTIyMDE1Mjcz/Ni5qcGVn.jpeg"
"33","Amos, Tori","From The Choirgirl Hotel","Australia","2635884","https://www.discogs.com/release/2635884-Tori-Amos-Bliss","https://i.discogs.com/7EZ70LY9hXVRMCj0LP6PUxgyjj8HepZVJh3I12kBzAA/rs:fit/g:sm/q:90/h:549/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MzU4/ODQtMTQ1NTU3MDE4/MS0xMDM5LmpwZWc.jpeg"
"35","Amos, Tori","Glory Of The 80's","Australia","166955","https://www.discogs.com/release/166955-Tori-Amos-Raspberry-Swirl","https://i.discogs.com/ylnS5_JNvFoC_O0UQKGRls4ibkuzaq4ez3t29caqwAU/rs:fit/g:sm/q:90/h:506/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2Njk1/NS0xNDI5MjU2MTcx/LTQ4NzAuanBlZw.jpeg"
"24","Amos, Tori","American Doll Posse","Australia","1774934","https://www.discogs.com/release/1774934-Tori-Amos-Spark","https://i.discogs.com/lKOvN97W6IjhOJk89DmASa82e9MQGryIqkwy7PouNIA/rs:fit/g:sm/q:90/h:519/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NzQ5/MzQtMTcyNjUwNjA1/Mi00NzQ0LmpwZWc.jpeg"
"15","Allen, Daevid","The Death Of Rock & Other Entrances","Argentina","2486018","https://www.discogs.com/release/2486018-Daevid-Allen-Banana-Moon","https://i.discogs.com/jarg1v0RkqjxmFhoOV1OFAG-zCnO33mrOrQQ9qpSIfU/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0ODYw/MTgtMTQxMDg5ODY3/Mi05MDE2LmpwZWc.jpeg"
"26","Amos, Tori","American Doll Posse","Australia","1436211","https://www.discogs.com/release/1436211-Tori-Amos-Strange-Little-Girls","https://i.discogs.com/2b1gpUIl4IrjfgX5n-8djuqjLrXpuMRs7COlQu8Fckw/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MzYy/MTEtMTIxOTU3NjMw/Ny5qcGVn.jpeg"
"28","Amos, Tori","Bliss","Australia","283714","https://www.discogs.com/release/283714-Tori-Amos-Cruel-Raspberry-Swirl","https://i.discogs.com/_9HCbCNK-I44s8i3uFMz_e9UP0M8LS8vrG5j7jvYigk/rs:fit/g:sm/q:90/h:528/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4Mzcx/NC0xMjA0OTEyMTEw/LmpwZWc.jpeg"
"30","Amos, Tori","Concertina","Australia","1541935","https://www.discogs.com/release/1541935-Tori-Amos-Strange-Little-Girls","https://i.discogs.com/ejRucuWSJd7ixG7-Ys-_oDHLwX7rZLBdELROGcyKJgs/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NDE5/MzUtMTQ1MzMyMjk4/OC0zOTQ5LmpwZWc.jpeg"
"5","Allen, Daevid","Banana Moon","Argentina","528062","https://www.discogs.com/release/528062-Daevid-Allen-With-Planet-Gong-Opium-For-The-People","https://i.discogs.com/RkMbyAR4fDf7G5R-T6F-0bzdBBMtBY9NAVweVX2ZcqA/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyODA2/Mi0xNDQ1MDc4OTIz/LTc2NTguanBlZw.jpeg"
